time,id,roadid,laneid,s
372.000601681881,8.71148842635896E+018,65,-2,206.840919494629
400.002652942203,1.56474210364597E+019,67,-2,9.10157489776613
423.019303480163,1.65622373139957E+018,67,-2,114.102784961462
446.006952833384,1.49616310278199E+019,67,-2,188.358360290527
466.00401856564,1.70248032866122E+019,67,-2,232.407600402832
490.023325592279,7.29243737374417E+018,67,-2,301.529920578003
510.002502554096,1.03279281859344E+019,1959,-2,1.12400138378145
535.015666996129,2.55942429127381E+018,69,-2,29.1401621103286
555.0153332958,1.05248129831851E+018,271,-1,26.2107439041137
573.00497143995,1.62928393233562E+019,4,3,45.5928593444824
601.007128027268,1.26830029780347E+019,3,3,87.2971189117431
621.035520964302,1.11692631121699E+019,3,3,36.9665887451171
637.006645197049,1.04827580331759E+019,776,-1,16.5407143831253
665.013528657146,2.94520328954795E+018,2,3,45.6847096824646
685.004157781601,8.24859364661823E+018,2,3,10.5370756530762
705.000513900071,6.19203549001988E+018,1,3,24.9903260803222
722.026122959331,1.7023779223068E+019,588,3,14.7549042510986
774.010950910859,6.99562589400814E+018,65,-2,122.483845233917
798.008427958004,5.91736114794491E+018,1165,-2,37.4175987243653
826.004177007824,9.78993882906107E+018,67,-2,48.6646003723145
861.015127753839,1.74299693620612E+019,67,-2,212.91283416748
886.01193576958,1.08667324101287E+019,100,-2,31.176010131836
919.005836541765,1.01321842034922E+019,69,-2,43.8845655918121
933.007936784066,1.34108055168081E+019,263,-1,16.4183609187603
960.01137074735,1.67906235288301E+019,3,3,110.348511943817
1008.00910391379,7.91314878779142E+018,65,-2,32.4982566833496
